index,score,p_max_avg
473,1.1474,0.445960162
474,1.1053,0.408375519
475,1.0691,0.403759252
476,1.1322,0.382099182
477,1.1469,0.375982497
478,1.1346,0.378888104
479,1.0688,0.385409332
480,1.0305,0.385751219
481,1.1368,0.384891075
482,1.349,0.383545199
483,1.1262,0.366801222
484,1.1265,0.366929118
485,1.1172,0.365875896
486,1.1482,0.361148034
487,1.038,0.376287913
488,1.0389,0.374276988
489,1.1135,0.368337796
490,1.1195,0.382126425
491,1.1706,0.387932703
492,1.27,0.386813184
493,1.1412,0.37994083
494,1.132,0.373722207
495,1.1324,0.372399801
496,1.1287,0.380640261
497,1.124,0.381366989
498,1.0573,0.365215226
499,0.9901,0.372019118
500,1.1158,0.382454165
501,1.1107,0.379506128
502,1.0556,0.376114874
503,1.1676,0.380362039
504,1.085,0.385608465
505,1.2414,0.392580957
506,1.3508,0.397342903
507,1.1792,0.397897429
508,1.1444,0.37255648
509,1.0592,0.368659341
510,1.0523,0.378965243
511,1.0574,0.384014485
512,1.2418,0.385358028
513,1.0617,0.372675487
514,1.062,0.376680205
515,1.1071,0.394474087
516,1.0168,0.402772422
517,1.1029,0.413792108
518,1.0724,0.397342337
519,1.1089,0.395210094
520,1.0882,0.38901928
521,1.1579,0.379234203
522,1.0968,0.366714758
523,1.1276,0.379273704
524,1.2221,0.383667035
525,0.967,0.358344922
526,1.0702,0.364813146
527,1.1763,0.369714513
528,1.0788,0.362828241
529,1.1255,0.376055743
530,1.2147,0.38294271
531,1.2867,0.40062237
532,1.0469,0.39736985
533,1.2397,0.397291648
534,1.2764,0.406187403
535,1.3311,0.412466836
536,1.204,0.410295243
537,0.9227,0.385702772
538,1.1103,0.389351671
539,1.2018,0.387557922
540,1.174,0.385610034
541,1.0266,0.383224694
542,1.2757,0.389642129
543,1.1018,0.370617737
544,1.0059,0.361500882
545,1.1895,0.36095912
546,1.2159,0.368515433
547,1.1194,0.371943147
548,1.2095,0.380250581
549,1.0826,0.389726005
550,1.0502,0.390143225
551,0.9616,0.395093991
552,1.251,0.394258389
553,1.1185,0.379730243
554,1.1745,0.371919114
555,1.1004,0.381072609
556,1.043,0.376914311
557,1.0642,0.372749192
558,1.0476,0.371879107
559,1.0972,0.371687609
560,1.0401,0.368138318
561,1.0213,0.378840574
562,1.2242,0.380126581
563,1.2204,0.374619103
564,1.2616,0.38793497
565,1.1338,0.386336087
566,0.9971,0.380604828
567,0.9879,0.369782563
568,1.1051,0.365915832
569,1.2028,0.369716313
570,1.0873,0.360446507
571,1.0786,0.354513898
572,1.0577,0.360370915
573,1.1317,0.359718036
574,1.196,0.355381482
575,1.3564,0.350934404
576,1.072,0.34628352
577,1.0524,0.356679646
578,1.1994,0.362339227
579,1.126,0.371068222
580,1.0881,0.374154783
581,1.1258,0.372503553
582,1.1707,0.363032388
583,1.2517,0.373009327
584,1.0529,0.367711033
585,1.1048,0.368456822
586,1.042,0.37529859
587,1.1374,0.37775692
588,0.9706,0.37287144
589,1.1029,0.380667787
590,1.1465,0.376631792
591,1.1432,0.383120167
592,1.2325,0.384812659
593,1.2235,0.39842233
594,1.1386,0.399380412
595,1.1938,0.41411602
596,1.035,0.413099084
597,1.1913,0.424237641
598,1.1102,0.430413719
599,1.1379,0.42620987
600,1.2642,0.433844696
601,1.3464,0.430181076
602,1.1813,0.433340359
603,1.0626,0.406116254
604,1.1456,0.405623876
605,1.0757,0.402960869
606,0.9951,0.405671279
607,1.0842,0.406575864
608,1.1392,0.406736196
609,1.1283,0.403965872
610,1.0645,0.39829231
611,1.1565,0.39692462
612,1.3997,0.404017742
613,1.2095,0.401862573
614,1.1407,0.378833137
615,1.1827,0.376036247
616,1.2317,0.370829265
617,1.1228,0.366806886
618,1.0477,0.364325054
619,1.2407,0.376158227
620,1.0405,0.383459181
621,1.11,0.379215948
622,1.1982,0.396521796
623,1.3258,0.391239014
624,1.1688,0.371576919
625,1.2913,0.372099843
626,1.1511,0.370413026
627,1.1781,0.377780514
628,1.1149,0.388466716
629,1.0429,0.408681486
630,1.2512,0.421712589
631,1.2919,0.407698596
632,1.0679,0.386670866
633,1.0929,0.384796067
634,1.1749,0.391445569
635,1.3569,0.401225372
636,1.1889,0.405419838
637,1.2013,0.407731007
638,1.3189,0.428135114
639,1.1073,0.399714232
640,1.128,0.392046647
641,1.1077,0.396315447
642,1.1884,0.396845669
643,1.0945,0.397387217
644,1.3516,0.416084598
645,1.1751,0.402117173
646,1.2141,0.410691095
647,1.0798,0.415421516
648,1.0765,0.419206377
649,1.3335,0.411289062
650,1.1382,0.390044012
651,1.12,0.38119796
652,1.0437,0.382090522
653,1.1358,0.372114196
654,1.2123,0.368484379
655,1.0261,0.358323743
656,1.2148,0.353162848
657,1.1064,0.353239282
658,1.1431,0.354529455
659,0.9406,0.348066757
660,1.23,0.366491959
661,1.3181,0.364328547
662,1.2653,0.36486225
663,1.0798,0.369002284
664,1.1349,0.368711058
665,1.0721,0.379822728
666,1.0615,0.369666228
667,1.2305,0.373565302
