index,score,p_max_avg
852,1.5181,0.397015169
853,1.4537,0.398718226
854,1.4467,0.402772404
855,1.3948,0.411399716
856,1.3516,0.420657601
857,1.4278,0.414550011
858,1.5072,0.414045797
859,1.4038,0.420304538
860,1.2856,0.417086877
861,1.1515,0.411061004
862,1.3226,0.422207869
863,1.4009,0.42927075
864,1.4142,0.432134196
865,1.3873,0.422467112
866,1.4619,0.405886395
867,1.4323,0.400933651
868,1.4946,0.409331725
869,1.3817,0.408753649
870,1.3245,0.392919852
871,1.2534,0.384141635
872,1.3494,0.379490881
873,1.4999,0.405241423
874,1.4574,0.410331324
875,1.3861,0.402070765
876,1.4201,0.401576165
877,1.5107,0.407058994
878,1.6603,0.403484536
879,1.4798,0.399109771
880,1.306,0.394790076
881,1.377,0.399371833
882,1.3073,0.408863335
883,1.3537,0.412480149
884,1.2854,0.401531203
885,1.2725,0.401361037
886,1.3861,0.412163654
887,1.5204,0.411504543
888,1.6326,0.42137475
889,1.5199,0.422666222
890,1.6055,0.417832302
891,1.6277,0.418765296
892,1.3845,0.417257014
893,1.465,0.413303264
894,1.4384,0.396113867
895,1.3685,0.388340679
896,1.4093,0.393400962
897,1.3407,0.397536475
898,1.3674,0.397897556
899,1.5482,0.393158936
900,1.4632,0.376329673
901,1.5022,0.382134525
902,1.5336,0.391613941
903,1.512,0.402099399
904,1.4222,0.41582304
905,1.4213,0.41600087
906,1.4066,0.412619031
907,1.4981,0.401515198
908,1.3536,0.404692033
909,1.3639,0.422534015
910,1.5026,0.415883888
911,1.4876,0.398787816
912,1.6162,0.39950704
913,1.6032,0.407316292
914,1.5391,0.411285968
915,1.5741,0.42152754
916,1.5225,0.427410827
917,1.6229,0.429040575
918,1.5816,0.428893299
919,1.5723,0.422429418
920,1.5733,0.424785423
921,1.6087,0.421893012
922,1.5985,0.412155398
923,1.4595,0.412901631
924,1.3888,0.415253368
925,1.4674,0.417410759
926,1.469,0.41607877
927,1.5752,0.419385372
928,1.6337,0.413641599
929,1.5301,0.406681737
930,1.4691,0.410371654
931,1.5509,0.417345684
932,1.5498,0.408849244
933,1.6503,0.395205629
934,1.4911,0.403143674
935,1.376,0.406656198
936,1.4325,0.405431546
937,1.5382,0.405016442
938,1.5722,0.413627564
939,1.5321,0.414354987
940,1.5875,0.410423748
941,1.6118,0.411414692
942,1.7851,0.423805186
943,1.7063,0.41960697
944,1.4102,0.413961179
945,1.4714,0.426018127
946,1.5808,0.445092974
947,1.6568,0.46032331
948,1.5296,0.44450338
949,1.6846,0.443120717
950,1.7369,0.438015525
951,1.5456,0.420179242
952,1.4403,0.421513005
953,1.5131,0.423643101
954,1.5324,0.426915871
955,1.5923,0.420920545
956,1.5069,0.419121125
957,1.5124,0.419987624
958,1.658,0.42022146
959,1.6895,0.409947032
960,1.5508,0.412466165
961,1.593,0.421325092
962,1.6031,0.423974845
963,1.5699,0.412072944
964,1.6678,0.408145612
965,1.6755,0.39670491
966,1.72,0.40092973
967,1.6955,0.414641005
968,1.499,0.418672199
969,1.5727,0.429087436
970,1.5543,0.415595043
971,1.4948,0.403390898
972,1.4801,0.417137983
973,1.6425,0.422819925
974,1.5959,0.413834075
975,1.515,0.421052444
976,1.602,0.425959698
977,1.7367,0.413974604
978,1.7625,0.418144895
979,1.7845,0.425784479
980,1.6711,0.433046608
981,1.6633,0.427204613
982,1.6823,0.412327933
983,1.5857,0.416207834
984,1.4786,0.412771918
985,1.5148,0.408000912
986,1.6207,0.412111253
987,1.5115,0.415505728
988,1.574,0.428416262
989,1.7346,0.435303733
